source_file,source_module,line,import_type,imported_module,imported_name,alias,level,resolved_file,resolution_status
dev_tools/repo_context/rc_discover.py,dev_tools.repo_context.rc_discover,11,from_import,__future__,annotations,,0,,unresolved_external_or_missing
dev_tools/repo_context/rc_discover.py,dev_tools.repo_context.rc_discover,13,import,json,,,0,,unresolved_external_or_missing
dev_tools/repo_context/rc_discover.py,dev_tools.repo_context.rc_discover,14,import,re,,,0,,unresolved_external_or_missing
dev_tools/repo_context/rc_discover.py,dev_tools.repo_context.rc_discover,15,from_import,pathlib,Path,,0,,unresolved_external_or_missing
dev_tools/repo_context/rc_discover.py,dev_tools.repo_context.rc_discover,17,import,rc_graphify,,,0,,unresolved_external_or_missing
dev_tools/repo_context/rc_discover.py,dev_tools.repo_context.rc_discover,18,import,rc_request,,rr,0,,unresolved_external_or_missing
dev_tools/repo_context/rc_discover.py,dev_tools.repo_context.rc_discover,19,from_import,rc_common,atomic_write_text,,0,,unresolved_external_or_missing
dev_tools/repo_context/rc_discover.py,dev_tools.repo_context.rc_discover,19,from_import,rc_common,generated_output_exclude_paths,,0,,unresolved_external_or_missing
dev_tools/repo_context/rc_discover.py,dev_tools.repo_context.rc_discover,19,from_import,rc_common,get_git_info,,0,,unresolved_external_or_missing
dev_tools/repo_context/rc_discover.py,dev_tools.repo_context.rc_discover,19,from_import,rc_common,sanitize_stem,,0,,unresolved_external_or_missing
dev_tools/repo_context/rc_discover.py,dev_tools.repo_context.rc_discover,20,from_import,rc_packet,_bfs_callees,,0,,unresolved_external_or_missing
dev_tools/repo_context/rc_discover.py,dev_tools.repo_context.rc_discover,20,from_import,rc_packet,_bfs_callers,,0,,unresolved_external_or_missing
